#SampleID	Metaphlan2_Analysis
d__Bacteria	50
d__Bacteria|p__Acidobacteriota	10
d__Bacteria|p__Acidobacteriota|c__Blastocatellia	3
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales	3
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae	3
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__PSRF01|s__PSRF01	1
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740	2
d__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Pyrinomonadales|f__Pyrinomonadaceae|g__UBA11740|s__UBA11740	2
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	4
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Gp7-AA8|f__Gp7-AA8|g__QHVT01|s__QHVT01	3
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__UBA5704|f__UBA5704|g__UBA5704|s__UBA5704	1
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21	3
d__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__2-12-FULL-66-21|g__2-12-FULL-66-21|s__2-12-FULL-66-21	3
d__Bacteria|p__Actinobacteriota	23
d__Bacteria|p__Actinobacteriota|c__Actinomycetia	4
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae|g__Actinoplanes	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Mycobacteriales|f__Micromonosporaceae|g__Actinoplanes|s__Actinoplanes	1
d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Propionibacteriales	3
