#SampleID	Metaphlan2_Analysis
d__Archaea	6
d__Archaea|p__Archaea	3
d__Archaea|p__Archaea|c__Archaea	3
d__Archaea|p__Archaea|c__Archaea|o__Archaea	3
d__Archaea|p__Archaea|c__Archaea|o__Archaea|f__Archaea	3
d__Archaea|p__Archaea|c__Archaea|o__Archaea|f__Archaea|g__Archaea	3
d__Archaea|p__Archaea|c__Archaea|o__Archaea|f__Archaea|g__Archaea|s__Archaea	3
d__Archaea|p__Euryarchaeota	3
d__Archaea|p__Euryarchaeota|c__Methanobacteria	1
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium	1
d__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacterium|s__Methanobacterium sp. SMA-27	1
d__Archaea|p__Euryarchaeota|c__Methanomicrobia	2
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	2
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	2
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	2
d__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina	2
d__Bacteria	618
d__Bacteria|p__Acidobacteriota	125
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae	87
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__20CM-2-55-15|f__20CM-2-55-15|g__20CM-2-55-15|s__20CM-2-55-15	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales	51
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae	10
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter	2
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_A	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella_A|s__Granulicella_A	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__KBS-83	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__KBS-83|s__KBS-83	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-343	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Palsa-343|s__Palsa-343	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__PALSA-350	1
d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__PALSA-350|s__PALSA-350	1
